Pair ID,Group,Round,Proposer,Offer A (€),Offer B (€),Response,Timestamp,,,,,,Anzahl ,Fehler
Pair_BsKdE1,4,1,Person B,500,500,Accept - offer accepted,01/14/2026 10:20:11,,,4,-1,,,
Pair_ThKtfV,2,1,Person B,500,500,Accept - offer accepted,01/14/2026 10:31:28,,,,,,,
Pair_9CdfRJ,2,1,Person A,500,500,Accept - offer accepted,01/14/2026 10:52:19,,,,,,,
Pair_gdYVp3,4,1,Person B,150,850,Too low - counteroffer,01/14/2026 10:59:56,,,,,,,
Pair_gdYVp3,4,2,Person A,200,800,Accept - offer accepted,01/14/2026 11:00:11,,,,,,,
Pair_0ChnJ2,2,1,Person A,500,500,Too low - counteroffer,01/14/2026 11:03:59,,,,,,,
Pair_0ChnJ2,2,2,Person B,275,725,Too low - counteroffer,01/14/2026 11:04:36,,,,,,,
Pair_0ChnJ2,2,3,Person A,300,700,Accept - offer accepted,01/14/2026 11:04:57,,,,,,,
Pair_OnSw28,2,1,Person A,500,500,Too low - counteroffer,12/02/2025 22:54:33,,,,,,,
Pair_OnSw28,2,2,Person B,698,302,Too low - counteroffer,12/02/2025 22:54:55,,,,,,,
Pair_OnSw28,2,3,Person A,197,803,Too low - counteroffer,12/02/2025 22:55:16,,,,,,,
Pair_OnSw28,2,4,Person B,363,637,Too low - counteroffer,12/02/2025 22:55:26,,,,,,,
Pair_OnSw28,2,5,Person A,443,557,Better offer outside option,12/02/2025 22:55:33,,,,,,,
Pair_OnSw28,2,6,Person B,227,773,Better offer outside option,12/02/2025 22:55:42,,,,,,,
Pair_OnSw28,2,7,Person A,250,750,Accept - offer accepted,12/02/2025 22:56:16,,,,,,,
Pair_2gQvZQ,3,1,Person A,475,525,Too low - counteroffer,12/03/2025 16:26:56,,,,,,,
Pair_2gQvZQ,3,2,Person B,311,689,Too low - counteroffer,12/03/2025 16:27:13,,,,,,,
Pair_2gQvZQ,3,3,Person A,517,483,Better offer outside option,12/03/2025 16:27:23,,,,,,,
Pair_2gQvZQ,3,4,Person B,340,660,Too low - counteroffer,12/03/2025 16:27:36,,,,,,,
Pair_2gQvZQ,3,5,Person A,394,606,Accept - offer accepted,12/03/2025 16:27:53,,,,,,,
Pair_EeD8MY,3,1,Person A,500,500,Too low - counteroffer,12/03/2025 18:18:03,,,,,,,
Pair_EeD8MY,3,2,Person B,550,450,Accept - offer accepted,12/03/2025 18:18:27,,,,,,,
Pair_esOVfG,2,1,Person B,300,700,Too low - counteroffer,12/03/2025 21:24:27,,,,,,,
Pair_esOVfG,2,2,Person A,733,267,Too low - counteroffer,12/03/2025 21:24:40,,,,,,,
Pair_esOVfG,2,3,Person B,400,600,Too low - counteroffer,12/03/2025 21:25:04,,,,,,,
Pair_esOVfG,2,4,Person A,500,500,Too low - counteroffer,12/03/2025 21:25:17,,,,,,,
Pair_esOVfG,2,5,Person B,400,600,Not accept,12/03/2025 21:25:37,,,,,,,
Pair_XcWtwe,2,1,Person A,482,518,Accept - offer accepted,12/03/2025 23:07:22,,,2,-1,,,
Pair_J6w6rW,3,1,Person A,500,500,Too low - counteroffer,12/04/2025 17:09:22,,,,,,,
Pair_J6w6rW,3,2,Person B,250,750,Too low - counteroffer,12/04/2025 17:10:12,,,,,,,
Pair_J6w6rW,3,3,Person A,350,650,Accept - offer accepted,12/04/2025 17:12:17,,,,,,,
Pair_gLLvsZ,2,1,Person B,250,750,Accept - offer accepted,12/04/2025 17:09:00,,,,,,,
Pair_Wu8LuX,4,1,Person B,350,650,Accept - offer accepted,12/04/2025 17:11:21,,,,,,,
Pair_TmeCS-,2,1,Person B,250,750,Too low - counteroffer,12/04/2025 17:11:19,,,,,,,
Pair_TmeCS-,2,2,Person A,310,690,Not accept,12/04/2025 17:11:40,,,,,,,
Pair_hiJ1QS,2,1,Person B,0,1000,Too low - counteroffer,12/04/2025 17:15:34,,,,,,,
Pair_hiJ1QS,2,2,Person A,250,750,Accept - offer accepted,12/04/2025 17:15:57,,,,,,,
Pair_ZxgUbw,4,1,Person B,200,800,Too low - counteroffer,12/06/2025 14:24:02,,,,,,,
Pair_ZxgUbw,4,2,Person A,330,670,Better offer outside option,12/06/2025 14:24:34,,,,,,,
Pair_ZxgUbw,4,3,Person B,200,800,Not accept,12/06/2025 14:25:14,,,,,,,
Pair_FhMLtg,3,1,Person B,300,700,Accept - offer accepted,12/08/2025 09:28:49,,,,,,,
Pair_x9pkJL,2,1,Person A,400,600,Too low - counteroffer,12/08/2025 09:30:19,,,1,-1,,,
Pair_x9pkJL,2,2,Person B,800,200,Too low - counteroffer,12/08/2025 09:30:49,,,,,,,
Pair_x9pkJL,2,3,Person A,300,700,Accept - offer accepted,12/08/2025 09:31:26,,,,,,,
Pair_eXp7_U,2,1,Person A,1000,0,Better offer outside option,12/08/2025 09:31:24,,,4,-1,,,
Pair_eXp7_U,2,2,Person B,148,852,Too low - counteroffer,12/08/2025 09:31:50,,,,,,,
Pair_eXp7_U,2,3,Person A,499,501,Better offer outside option,12/08/2025 09:32:10,,,,,,,
Pair_eXp7_U,2,4,Person B,212,788,Too low - counteroffer,12/08/2025 09:32:42,,,,,,,
Pair_eXp7_U,2,5,Person A,492,508,Better offer outside option,12/08/2025 09:32:57,,,,,,,
Pair_eXp7_U,2,6,Person B,300,700,Too low - counteroffer,12/08/2025 09:33:44,,,,,,,
Pair_eXp7_U,2,7,Person A,451,549,Not accept,12/08/2025 09:33:54,,,,,,,
Pair_CbQElH,3,1,Person B,230,770,Too low - counteroffer,12/08/2025 09:32:11,,,,,,,
Pair_CbQElH,3,2,Person A,250,750,Accept - offer accepted,12/08/2025 09:32:30,,,,,,,
Pair_oGsNgW,4,1,Person B,500,500,Accept - offer accepted,12/08/2025 13:23:06,,,,,,,
Pair_HhhofB,3,1,Person A,600,400,Too low - counteroffer,12/08/2025 13:25:51,,,,,,,
Pair_HhhofB,3,2,Person B,500,500,Accept - offer accepted,12/08/2025 13:27:06,,,,,,,
Pair_jDTeJV,1,1,Person B,250,750,Accept - offer accepted,12/08/2025 13:28:50,,,,,,,
Pair_pZfd42,3,1,Person A,500,500,Too low - counteroffer,12/08/2025 15:05:13,,,,,,,
Pair_pZfd42,3,2,Person B,300,700,Too low - counteroffer,12/08/2025 15:06:07,,,,,,,
Pair_pZfd42,3,3,Person A,450,550,Too low - counteroffer,12/08/2025 15:06:29,,,,,,,
Pair_pZfd42,3,4,Person B,315,685,Accept - offer accepted,12/08/2025 15:07:14,,,,,,,
Pair__KW6E4,4,1,Person B,50,950,Too low - counteroffer,12/08/2025 22:29:26,,,,,,,
Pair__KW6E4,4,2,Person A,500,500,Too low - counteroffer,12/08/2025 22:31:08,,,,,,,
Pair__KW6E4,4,3,Person B,150,850,Accept - offer accepted,12/08/2025 22:32:09,,,,,,,
Pair_ih2eMC,4,1,Person A,240,760,Too low - counteroffer,12/08/2025 22:35:57,,,,,,,
Pair_ih2eMC,4,2,Person B,200,800,Better offer outside option,12/08/2025 22:36:44,,,,,,,
Pair_ih2eMC,4,3,Person A,230,770,Too low - counteroffer,12/08/2025 22:37:09,,,,,,,
Pair_ih2eMC,4,4,Person B,210,790,Too low - counteroffer,12/08/2025 22:37:48,,,,,,,
Pair_ih2eMC,4,5,Person A,225,775,Accept - offer accepted,12/08/2025 22:38:23,,,,,,,
Pair_rEa9Eg,1,1,Person B,300,700,Too low - counteroffer,12/09/2025 15:12:23,,,,,,,
Pair_rEa9Eg,1,2,Person A,405,595,Accept - offer accepted,12/09/2025 15:12:55,,,,,,,
Pair_4OE_We,4,1,Person A,300,700,Too low - counteroffer,12/09/2025 15:13:49,,,,,,,
Pair_4OE_We,4,2,Person B,200,800,Not accept,12/09/2025 15:14:02,,,,,,,
Pair_9782z_,1,1,Person A,300,700,Better offer outside option,12/09/2025 15:15:00,,,,,,,
Pair_9782z_,1,2,Person B,250,750,Accept - offer accepted,12/09/2025 15:15:13,,,,,,,
Pair_BDK47K,1,1,Person B,461,539,Too low - counteroffer,12/13/2025 13:26:26,,,,,,,
Pair_BDK47K,1,2,Person A,484,516,Too low - counteroffer,12/13/2025 13:26:37,,,,,,,
Pair_BDK47K,1,3,Person B,585,415,Too low - counteroffer,12/13/2025 13:26:48,,,,,,,
Pair_BDK47K,1,4,Person A,606,394,Too low - counteroffer,12/13/2025 13:26:56,,,,,,,
Pair_BDK47K,1,5,Person B,358,642,Better offer outside option,12/13/2025 13:27:03,,,,,,,
Pair_BDK47K,1,6,Person A,572,428,Too low - counteroffer,12/13/2025 13:27:08,,,,,,,
Pair_BDK47K,1,7,Person B,640,360,Better offer outside option,12/13/2025 13:27:15,,,,,,,
Pair_BDK47K,1,8,Person A,693,307,Too low - counteroffer,12/13/2025 13:27:26,,,,,,,
Pair_BDK47K,1,9,Person B,230,770,Too low - counteroffer,12/13/2025 13:27:37,,,,,,,
Pair_BDK47K,1,10,Person A,546,454,Not accept,12/13/2025 13:27:42,,,,,,,
Pair_wQWDhc,3,1,Person B,201,799,Too low - counteroffer,01/07/2026 18:15:58,,,,,,,
Pair_wQWDhc,3,2,Person A,500,500,Better offer outside option,01/07/2026 18:16:25,,,,,,,
Pair_wQWDhc,3,3,Person B,250,750,Accept - offer accepted,01/07/2026 18:16:44,,,,,,,
Pair_e2K7va,2,1,Person A,800,200,Too low - counteroffer,01/07/2026 20:51:23,,,,,,,
Pair_e2K7va,2,2,Person B,700,300,Accept - offer accepted,01/07/2026 20:53:05,,,,,,,
Pair_VB6kmA,1,1,Person B,386,614,Too low - counteroffer,01/10/2026 13:34:46,,,,,,,
Pair_VB6kmA,1,2,Person A,300,700,Too low - counteroffer,01/10/2026 13:35:05,,,,,,,
Pair_VB6kmA,1,3,Person B,350,650,Accept - offer accepted,01/10/2026 13:35:29,,,,,,,
Pair_OQ6T13,3,1,Person A,300,700,Too low - counteroffer,01/10/2026 13:43:57,,,,,,,
Pair_OQ6T13,3,2,Person B,200,800,Better offer outside option,01/10/2026 13:44:22,,,,,,,
Pair_OQ6T13,3,3,Person A,250,750,Accept - offer accepted,01/10/2026 13:44:34,,,,,,,
Pair_00tUrS,3,1,Person A,500,500,Too low - counteroffer,01/10/2026 13:48:19,,,,,,,
Pair_00tUrS,3,2,Person B,600,400,Too low - counteroffer,01/10/2026 13:50:02,,,,,,,
Pair_00tUrS,3,3,Person A,500,500,Too low - counteroffer,01/10/2026 13:50:16,,,,,,,
Pair_00tUrS,3,4,Person B,250,750,Too low - counteroffer,01/10/2026 13:50:45,,,,,,,
Pair_00tUrS,3,5,Person A,400,600,Too low - counteroffer,01/10/2026 13:51:26,,,,,,,
Pair_00tUrS,3,6,Person B,350,650,Accept - offer accepted,01/10/2026 13:51:48,,,,,,,
Pair_bGIopB,3,1,Person B,200,800,Too low - counteroffer,01/15/2026 19:17:22,,2,-1,,,,
Pair_bGIopB,3,2,Person A,350,650,Too low - counteroffer,01/15/2026 19:17:43,,1,-1,,,,
Pair_bGIopB,3,3,Person B,250,750,Too low - counteroffer,01/15/2026 19:18:06,,,,,,,
Pair_bGIopB,3,4,Person A,300,700,Too low - counteroffer,01/15/2026 19:18:16,,,,,,,
Pair_bGIopB,3,5,Person B,250,750,Accept - offer accepted,01/15/2026 19:18:34,,,,,,,
Pair_BtLh9k,3,1,Person B,180,820,Too low - counteroffer,01/24/2026 10:30:33,,,,,,,
Pair_BtLh9k,3,2,Person A,300,700,Better offer outside option,01/24/2026 10:31:24,,,,,,,
Pair_BtLh9k,3,3,Person B,230,770,Too low - counteroffer,01/24/2026 10:31:55,,,,,,,
Pair_BtLh9k,3,4,Person A,280,720,Accept - offer accepted,01/24/2026 10:32:11,,,,,,,
Pair_Jx2RzG,4,1,Person A,569,431,Better offer outside option,12/03/2025 09:28:32,,,,,,,
Pair_Jx2RzG,4,2,Person B,125,875,Better offer outside option,12/03/2025 09:30:21,,,,,,,
